CAMIS,DBA,BORO,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,GRADE,SCORE,Latitude,Longitude
30075445,MORRIS PARK BAKE SHOP,Bronx,10462.0,+17188924968,Bakery Products/Desserts,2023-08-22,Violations were cited in the following area(s).,A,12.0,40.848231224526,-73.855971889932
30112340,WENDY'S,Brooklyn,11225.0,+17182875005,Hamburgers,2023-07-21,Violations were cited in the following area(s).,A,9.0,40.662651518808,-73.962081374927
30191841,DJ REYNOLDS PUB AND RESTAURANT,Manhattan,10019.0,+12122452912,Irish,2023-04-23,Violations were cited in the following area(s).,A,10.0,40.767325711553,-73.984310423617
40356018,RIVIERA CATERERS,Brooklyn,11224.0,+17183723031,American,2022-02-01,Violations were cited in the following area(s).,A,7.0,40.579895663312,-73.982086655861
40356483,WILKEN'S FINE FOOD,Brooklyn,11234.0,+17184443838,Sandwiches,2022-08-19,Violations were cited in the following area(s).,A,2.0,40.620111590927,-73.906989489698
40356731,TASTE THE TROPICS ICE CREAM,Brooklyn,11226.0,+17188560821,Frozen Desserts,2023-01-17,Violations were cited in the following area(s).,A,9.0,40.640795017461,-73.948487981531
40359480,1 EAST 66TH STREET KITCHEN,Manhattan,10065.0,+12128793900,American,2022-05-03,Violations were cited in the following area(s).,A,9.0,40.768546914232,-73.969580578452
40359705,NATHAN'S FAMOUS,Brooklyn,11224.0,+17183332202,Hotdogs,2023-04-26,Violations were cited in the following area(s).,A,13.0,40.575536869421,-73.981652264112
40360045,SEUDA FOODS,Brooklyn,11223.0,+17183751500,Jewish/Kosher,2023-01-31,Violations were cited in the following area(s).,A,13.0,40.606186921432,-73.965466445897
40361618,SAL'S DELI,Queens,11356.0,+17186619498,Sandwiches,2023-04-26,Violations were cited in the following area(s).,A,13.0,40.781673836068,-73.839415976831
40361998,STEVE CHU'S DELI & GROCERY,Queens,11106.0,+17187268888,Sandwiches,2022-12-12,Violations were cited in the following area(s).,A,12.0,40.764571212478,-73.938825461701
40362264,P & S DELI GROCERY,Manhattan,10025.0,+12129323030,American,2023-02-07,Violations were cited in the following area(s).,A,12.0,40.792620635885,-73.96770961573
40362274,ANGELIKA FILM CENTER,Manhattan,10012.0,+12129952570,American,2023-06-21,Violations were cited in the following area(s).,A,11.0,40.725743617441,-73.997478107592
40362432,HO MEI RESTAURANT,Queens,11368.0,+17187796903,Chinese,2022-10-25,Violations were cited in the following area(s).,A,8.0,40.753305911581,-73.864295375778
40362869,SHASHEMENE INT'L RESTAURANT,Brooklyn,11203.0,+13474300871,Caribbean,2022-03-09,Violations were cited in the following area(s).,A,8.0,40.651983222786,-73.924574944152
40363298,CAFE METRO,Manhattan,10018.0,+12127149342,American,2022-09-02,Violations were cited in the following area(s).,A,2.0,40.756185423077,-73.990564733785
40363427,BAGELS N BUNS,Staten Island,10314.0,+17187611900,Sandwiches,2023-05-03,Violations were cited in the following area(s).,A,9.0,40.610267863828,-74.146401210286
40363834,CARVEL,Staten Island,10305.0,+17188167807,Frozen Desserts,2022-08-02,Violations were cited in the following area(s).,A,7.0,40.598553130746,-74.079646008177
40363920,NEW GOLDEN BILLION,Brooklyn,11212.0,+17187357707,Chinese,2023-04-26,Violations were cited in the following area(s).,A,2.0,40.662140594575,-73.92718021322
40364220,KOSHER BAGEL HOLE,Brooklyn,11230.0,+17182584150,Jewish/Kosher,2023-11-01,Violations were cited in the following area(s).,A,2.0,40.625111128727,-73.962034339365
40364296,HAPPY GARDEN,Bronx,10458.0,+17182955588,Chinese,2022-01-03,Violations were cited in the following area(s).,A,11.0,40.863648812188,-73.894239617341
40364305,PHILADELPHIA GRILLE EXPRESS,Brooklyn,11209.0,+17182380747,Pizza,2023-01-23,Violations were cited in the following area(s).,A,3.0,40.612722489797,-74.033751771822
40364335,PETER LUGER STEAKHOUSE,Brooklyn,11211.0,+17183877400,Steakhouse,2023-03-21,Violations were cited in the following area(s).,A,12.0,40.709979804558,-73.962512437328
40364373,ISLE OF CAPRI RESTURANT,Manhattan,10065.0,+12127581902,Italian,2023-02-06,Violations were cited in the following area(s).,A,7.0,40.76270773611,-73.965749576014
40364389,OLD TOWN BAR & RESTAURANT,Manhattan,10003.0,+12125296732,American,2022-07-20,Violations were cited in the following area(s).,A,13.0,40.73759507351,-73.989647208522
40364439,SEVILLA RESTAURANT,Manhattan,10014.0,+12129293189,Latin American,2023-05-17,Violations were cited in the following area(s).,A,12.0,40.734908378121,-74.00297328507
40364443,CRIMINAL COURT BLDG CAFETERIA,Manhattan,10013.0,+12129621037,American,2022-12-02,Violations were cited in the following area(s).,B,18.0,40.71607656565,-74.001424896229
40364449,GOTTSCHEER HALL,Queens,11385.0,+17183663030,German,2022-04-28,Violations were cited in the following area(s).,A,13.0,40.706647972614,-73.90573574011
40364518,7B BAR,Manhattan,10009.0,+12126776742,American,2022-09-28,Violations were cited in the following area(s).,A,10.0,40.724984562415,-73.981282649047
40364572,DONOHUE'S STEAK HOUSE,Manhattan,10065.0,+12127440938,Steakhouse,2023-04-18,Violations were cited in the following area(s).,A,9.0,40.765512884509,-73.965769788003
40364581,JUNIOR'S,Brooklyn,11201.0,+17188525257,American,2023-02-27,Violations were cited in the following area(s).,A,13.0,40.690200145894,-73.981624196473
40364715,OLD HOMESTEAD,Manhattan,10011.0,+12122429040,American,2023-03-23,Violations were cited in the following area(s).,A,12.0,40.741372224356,-74.005037755098
40364744,NEW PARK PIZZERIA & RESTAURANT,Queens,11414.0,+17186413082,Pizza,2023-12-04,Violations were cited in the following area(s).,A,10.0,40.663101703308,-73.840837932811
40364956,THE NEW STARLING ATHLETIC CLUB OF THE BRONX,Bronx,10462.0,+17188229004,American,2023-08-10,Violations were cited in the following area(s).,A,12.0,40.830610122115,-73.849646682665
40365013,CRYSTAL ROOM,Staten Island,10305.0,+17184478926,Italian,2023-06-07,Violations were cited in the following area(s).,A,8.0,40.592814177678,-74.070677121271
40365075,MCSORLEY'S OLD ALE HOUSE,Manhattan,10003.0,+12122542570,Irish,2023-08-17,Violations were cited in the following area(s).,A,12.0,40.728584000789,-73.989536765481
40365120,SOUTH SHORE SWIMMING CLUB,Staten Island,10309.0,+17182274285,American,2022-07-28,Violations were cited in the following area(s).,A,13.0,40.508068517904,-74.228282145067
40365166,CORNER BISTRO,Manhattan,10014.0,+12122429502,American,2022-03-31,Violations were cited in the following area(s).,A,13.0,40.737924847314,-74.003861116033
40365239,DORRIAN'S RED HAND RESTAURANT,Manhattan,10028.0,+12127726660,Irish,2022-01-03,Violations were cited in the following area(s).,A,8.0,40.776404966262,-73.952802065662
40365264,LA GRENOUILLE,Manhattan,10022.0,+12127521495,French,2023-03-29,Violations were cited in the following area(s).,A,12.0,40.759658161533,-73.975977435444
40365387,ARTURO'S,Manhattan,10012.0,+12126773820,Italian,2023-03-20,Violations were cited in the following area(s).,A,7.0,40.727234052041,-74.000515935209
40365499,YANKEE TAVERN,Bronx,10451.0,+17182926130,American,2022-01-04,Violations were cited in the following area(s).,A,12.0,40.827557861039,-73.925141196877
40365525,DONUT PUB,Manhattan,10011.0,+12129290126,Donuts,2022-06-23,Violations were cited in the following area(s).,B,26.0,40.738748341271,-74.000144342577
40365546,REBEN LUNCHEONETTE,Brooklyn,11211.0,+17183887696,American,2023-01-11,Violations were cited in the following area(s).,B,21.0,40.709039945161,-73.959151290226
40365577,V & T RESTAURANT,Manhattan,10025.0,+12126668051,Italian,2023-06-05,Violations were cited in the following area(s).,A,5.0,40.803329420525,-73.963611914951
40365627,JAHN'S RESTAURANT,Queens,11372.0,+17186510700,American,2023-02-21,Violations were cited in the following area(s).,A,9.0,40.74965336582,-73.885073567329
40365632,J&V FAMOUS PIZZA,Brooklyn,11204.0,+17182322700,Pizza,2023-11-30,Violations were cited in the following area(s).,A,7.0,40.619956732515,-73.989352140632
40365644,JOE ALLEN RESTAURANT,Manhattan,10036.0,+12125816464,American,2022-09-20,Violations were cited in the following area(s).,A,12.0,40.760178896668,-73.988882031739
40365784,GARGIULO'S RESTAURANT,Brooklyn,11224.0,+17182664891,Italian,2022-02-02,Violations were cited in the following area(s).,A,10.0,40.576555331866,-73.982584323148
40365789,PATSY'S ITALIAN RESTAURANT,Manhattan,10019.0,+12122473491,Italian,2023-12-28,Violations were cited in the following area(s).,A,13.0,40.765618195284,-73.98239751366
40365841,PARKSIDE RESTAURANT,Queens,11368.0,+17182719871,Italian,2022-03-08,Violations were cited in the following area(s).,A,9.0,40.743725104829,-73.856238382915
40365844,LAVELLE'S ADMIRAL'S CLUB,Queens,11103.0,+13475071821,Other,2022-08-31,Violations were cited in the following area(s).,A,10.0,40.757002312956,-73.914799999814
40365871,NEARY'S PUB,Manhattan,10022.0,+12127511434,American,2023-05-02,Violations were cited in the following area(s).,A,13.0,40.758639389205,-73.963748322244
40365882,NEW YORK PIZZA SUPREMA,Manhattan,10001.0,+12125948939,Pizza,2023-07-17,Violations were cited in the following area(s).,Z,20.0,40.750031951553,-73.995040989424
40365904,MEE SUM CAFE,Manhattan,10013.0,+12123495260,Coffee/Tea,2023-06-20,Violations were cited in the following area(s).,C,54.0,40.714860627928,-73.998199974185
40365938,NANCY'S RESTAURANT,Queens,11001.0,+17183434616,American,2023-01-17,Establishment re-opened by DOHMH.,Z,5.0,40.727412703327,-73.709620966368
40365942,HOP KEE RESTAURANT,Manhattan,10013.0,+12129648365,Chinese,2023-02-28,Violations were cited in the following area(s).,A,12.0,40.71436383248,-73.998784360399
40365968,NANCY WHISKEY PUB,Manhattan,10013.0,+12122269943,American,2022-09-28,Violations were cited in the following area(s).,A,10.0,40.720539457665,-74.005010921281
40365972,BLARNEY BAR,Queens,11435.0,+17186583406,American,2022-10-17,Violations were cited in the following area(s).,A,9.0,40.701803341646,-73.808675609014
40366002,MARGHERITA PIZZA,Queens,11432.0,+17186575780,Pizza,2022-12-19,Violations were cited in the following area(s).,A,7.0,40.704667713048,-73.796822882442
40366054,HEALY'S PUB,Queens,11694.0,+17184749600,American,2023-04-25,Violations were cited in the following area(s).,A,12.0,40.581733753666,-73.830282829448
40366109,FIFTH AVENUE BINGO,Brooklyn,11215.0,+17187881691,American,2023-12-27,Violations were cited in the following area(s).,Z,25.0,40.670037593839,-73.985591483957
40366132,DENINO'S PIZZERIA TAVERN,Staten Island,10302.0,+17184429401,Pizza,2022-02-28,Violations were cited in the following area(s).,A,13.0,40.630024412021,-74.140168869243
40366154,MICHAEL'S RESTAURANT,Brooklyn,11229.0,+17189987851,Italian,2022-04-07,Violations were cited in the following area(s).,A,10.0,40.607418586159,-73.943003631919
40366222,KILLARNEY ROSE,Manhattan,10005.0,+12124221486,Irish,2023-08-15,Violations were cited in the following area(s).,A,4.0,40.705338706862,-74.008692264913
40366230,DON PEPPE,Queens,11420.0,+17188457587,Italian,2022-11-22,Violations were cited in the following area(s).,C,35.0,40.670258237563,-73.820976082388
40366356,BLARNEY CASTLE,Queens,11697.0,+17186344503,American,2023-06-14,Violations were cited in the following area(s).,A,13.0,40.560775789189,-73.911783397474
40366471,ROLL-N-ROASTER,Brooklyn,11235.0,+17187695831,American,2023-05-01,Violations were cited in the following area(s).,A,12.0,40.58386660862,-73.939690057418
40366473,TIO PEPE,Manhattan,10014.0,+12122429338,Seafood,2023-12-05,Violations were cited in the following area(s).,A,12.0,40.732056597098,-74.001443280258
40366487,BRENNAN & CARR,Brooklyn,11229.0,+17187691254,American,2023-06-26,Violations were cited in the following area(s).,A,8.0,40.600385883899,-73.94189333042
