ID,NAME,RATING,PRICE,PHONE,TRANSACTIONS,REVIEW_COUNT
Ftrk-Rx1i3okzxnQNuLcnw,Starbucks,2.5,$$,+12127422490,['delivery'],96
6evDC62OwL1SewmR6ui6lw,Vivi Bubble Tea,3.5,$,+13477027899,"['delivery', 'pickup']",64
mnXrPqOVbX_06D9OAo4dLA,Atti,4.5,$$$$,+19179091122,"['pickup', 'delivery']",80
nfaS-7o4ZrVdsdqhZHnksQ,Alamo Drafthouse Cinema Downtown Brooklyn,3.5,$$,+17185132547,"['pickup', 'delivery']",835
_fTRTishY3G5dLPLYGCVAw,Tipsy Shanghai,4.0,$$,+12124666488,"['pickup', 'delivery']",53
MXYtu8-0eNkW6L4firJfcw,Chinatown Restaurant,3.0,$$,+12129873500,"['delivery', 'pickup']",284
OEk1N8ItiakoSHYk1aqwLA,Andy's Deli,3.0,$,+12124771110,"['delivery', 'pickup']",40
dn8_HgoGUE4IFzwPI6GeLA,Kai Feng Fu 開封府鍋貼,4.5,$,+17184373542,['delivery'],311
-L_ArHSBcNlG5r0djuQ9Dw,Kamshing,4.0,$,+17184215252,[],27
5r5qJZ0bHvD9ucz9hVx3uA,Grini's Grill,3.5,$,+12126946274,['delivery'],37
cxBDRNIHTHg9X2xDuczPIg,Kawah Chinese Restaurant,4.0,$,+17183642458,['delivery'],31
qGA7hdPSuwXVkum548WEWA,Dimmer & Summer,4.0,$$,+19292959999,"['restaurant_reservation', 'delivery', 'pickup']",81
xxgcU_oFIox_pAmroo9WwA,Front Street Pizza,4.0,$,+17188753700,"['pickup', 'delivery']",482
wUp0XV7RPDcMvgfxpvrgfw,Emack & Bolio's,4.0,$$,+12127340105,"['pickup', 'delivery']",493
tQIC8V5c9vwaakcOSv62ig,Hudson Bagels,3.0,$,+12126752906,"['pickup', 'delivery']",153
7aDmofVcwpe_CwbE98SqUg,PaPa Chicken,4.0,$,+17188658989,"['delivery', 'pickup']",73
UTpSMHFXUPq41qzJ7T8Aog,Pizza Palace Cafe,3.0,$,+17189977492,"['pickup', 'delivery']",40
p3fHkjlZB5HGw_AuxT5VlA,Manhattan Three Decker,3.0,$,+17183896664,"['delivery', 'pickup']",178
adhIXIt4OY6FW7iVU1xZCw,Gamehaus New York,4.0,$$,+17183929600,"['delivery', 'pickup']",73
VptVRKabkeqALiEXuBfgvA,8090 Taiwanese Cusine,3.5,$$,+16466831763,"['delivery', 'pickup']",90
x-_kTa7XHxn-MaPnirFM8g,McDonald's,2.5,$,+17189483800,['delivery'],28
ZHbTlyA33Moeahm-VAJI1Q,Subway,2.0,$,+13475174156,"['pickup', 'delivery']",5
CPv_PzTVuk2q-8Ndi6pXaQ,OK Ryan Restaurant,4.0,$$,+17183217309,"['pickup', 'delivery']",218
_LLK-gnjeTLwpyoliglozw,Hang Lee Chinese,4.0,$,+12129420927,['delivery'],36
WZtRK1pwIlZD7vdCqacJ0g,Nana's,4.5,$$,+19179942454,[],39
_6ppndL8xhUBvylCur6fag,Dollar Hits - New York,4.0,$,+19176311427,[],36
cQRQXI3-B5eGFCi_aj1IyQ,Golden City Chinese Restaurant,4.5,$,+12127811979,['delivery'],13
05nfJPfW_rLj8FKybt2fwQ,Pacini's,3.0,$,+17185683000,"['delivery', 'pickup']",28
kycAM7GyA1pEMmkdVS3xuw,Wolfnights The Gourmet wraps,4.0,$$,+16464299048,"['pickup', 'delivery']",161
n2xFYgwuo1-ToqNnCkvdtg,Burgerology Midtown,4.0,$$,+16463860090,"['pickup', 'delivery']",116
-bM9YDomW6BX3zGDHN24XQ,Curry House,4.5,$$,+16466785131,"['delivery', 'pickup']",83
Q9F2ocrmYuGt1yn3M7MOBw,Lucali,4.0,$$,+17188584086,['delivery'],2027
