RESTAURANT_ID,REVIEWS
05MSMrudU5N7UgImzuRVtw,This is the spot! Hands down they make the best chicken. Tony is my man. You gotta give props to these people they work hard to prepare your food....
LbohfoklOxK7mSMm96_wLw,"Amazing staff and amazing coffee! It's always freshly brewed so it's very rich in taste!The COMBO is a joke!
This morning , I ordered ice coffee and a chicken sandwich here . They charged me individual even there is Combo on the screen. 
I...Bad costumer service, the employees have bad attitude and they don't show effort,they be on the phone."
FiKu5C03pBiAn5v5DEL9UQ,"This was a great vegetarian place for dinner before the theater and I highly recommend it. I had no idea what we were doing there because no one was looking...As a regular patron of the business for YEARS, I was rather disappointed at the manner of service I experienced TODAY. 

Space was limited in doors,...Food 6/10
The brunch menu was a little bland not going to lie, but there were some that stood out more than others. The loaded banana bread was slightly..."
hTrn_YVmi5Kk7eVjTkBk9A,This McDonald's is in Queens Center Mall's food court. It's a typical McDonald's. The line is longer than at most restaurants in the food court. There's...The worst customer service the old short lady had no patience to take my order n guide me I wanted to place a huge order but she was rude please look into...Instead of going to mcdo I just went to bk.they don't accept rewards. End up spend more for breakfast .
GLWltF2ol24L4ypz5eTMhw,The lady that took my order was super rude and nasty. I called to change my order and she said she canceled my order and hung up the phone. I called again...Just order Shrimp and Broccoli with Vegetable fried rice it smelled funny and the broccoli taste was nasty it was spoiled call them back and told them the...Please me tell why my order came with a bag of duck sauce and soy sauce with no hot sauce. So disappointing. I didn't think I'd have to ask for hot sauce....
iBv3jR8lxH2e9dV42Sca0g,"Nice cocktail lounge with a Tiki vibe in the cut .. while it's on Nostrand Ave, it's easy to miss.
Cute backyard great for a drink date
Eat before going...Fun tiki style rum bar in crown heights. This place always has patrons but is never too loud, which is a great option for those looking for a low key night...In the area & my friend mentioned this place for drinks, we stopped by & were seated right away. 
Once seated drinks we went with the Pain killer, I liked..."
p0hkHX70HUbY4R_r0Xvntg,"Found parking in front and went inside during peak dinner hours. The inside was dimly lit and has plenty of seating. The dining area was packed and there...Located a few blocks from the C train, Les Ambassades is an inviting spot to chill and get nourished with some delicious Senegalese food. 
The service was...Have you ever had a meal that you couldn't stop thinking about days later? Well if you haven't it's probably because you haven't eaten at Pikine yet. 

I..."
zfOaYbyx5RAa91Qw_ThsPQ,"Best starbucks in the neighborhood,  smaller but cozy, great baristas and coffee. 
Busy mornings, quick service.Service is so slow. I might get fired going back to work at this point. A coffee break shouldn't be taking 45min.Friendly barista, but the bagel I asked for, double toasted, was barely toasted at all. Should have checked before i left."
NWHrF-8HC7yIKMXop6n-0Q,"So I found myself back here again on a lazy Saturday afternoon looking for brunch and ambiance and what a groovy ambiance it was! This time I decided to...I love Bushwick Grind! I usually pop in to get some work done, and every drink I've gotten has been awesome. The workers are all SUPER nice, and I believe...Cute little neighborhood cafe. I got the vegan breakfast burrito with house fries and the winter blue smoothie (blueberries, elderberries, pineapple,..."
unWoFZeSWa0DK1YMekO_Uw,"Great drinks and truffle fries. Excellent service from our waiter Octavio. Would come back!Our first stop in NYC after checking into our hotel! Quaint and cute as can be, we enjoyed the whipped feta, fish tacos, and short rib French dip! Delicious...Mediocre food at best. We ate breakfast once, lunch once, dinner once and happy hour twice, during our stay in the attached hotel. 

They were out of..."
