CAMIS,Fear,Trust,Negative,Positive,Joy,Disgust,Anticipation,Sadness,Surprise
30075445,2.5,2.5,2.5,8.75,5.0,2.5,3.75,2.5,1.25
30112340,1.15,1.15,3.45,4.6,0.0,2.3,2.3,1.15,1.15
30191841,3.8,7.59,2.53,10.13,7.59,1.27,3.8,1.27,3.8
40356483,0.0,1.1,1.1,2.2,2.2,0.0,3.3,0.0,0.0
40356731,1.23,1.23,2.47,12.35,4.94,2.47,2.47,0.0,2.47
40361618,0.0,4.55,0.0,6.82,4.55,0.0,4.55,0.0,2.27
40361998,1.32,2.63,1.32,3.95,2.63,0.0,1.32,0.0,0.0
40362274,1.43,4.29,1.43,5.71,4.29,0.0,7.14,0.0,5.71
40362432,2.22,3.33,1.11,6.67,5.56,1.11,4.44,1.11,1.11
40363427,1.14,4.55,1.14,10.23,7.95,1.14,5.68,1.14,2.27
40363834,0.0,13.25,1.2,14.46,12.05,0.0,10.84,0.0,7.23
40364220,0.0,7.23,0.0,13.25,10.84,0.0,6.02,0.0,6.02
40364296,1.43,7.14,0.0,11.43,5.71,0.0,5.71,0.0,1.43
40364305,3.45,2.3,1.15,4.6,3.45,0.0,4.6,0.0,1.15
40364335,0.0,8.54,2.44,9.76,8.54,0.0,4.88,0.0,1.22
40364373,1.19,5.95,3.57,7.14,1.19,3.57,0.0,2.38,0.0
40364389,0.0,8.97,1.28,12.82,8.97,0.0,3.85,0.0,1.28
40364439,0.0,5.8,1.45,11.59,5.8,0.0,0.0,1.45,0.0
40364449,0.0,6.85,4.11,12.33,10.96,0.0,2.74,0.0,0.0
40364518,0.0,2.67,1.33,8.0,2.67,0.0,2.67,2.67,2.67
40364572,0.0,7.04,1.41,14.08,8.45,1.41,2.82,1.41,2.82
40364715,0.0,1.14,4.55,1.14,0.0,1.14,3.41,2.27,1.14
40364744,1.23,2.47,1.23,4.94,2.47,0.0,3.7,1.23,0.0
40365166,0.0,3.61,2.41,4.82,3.61,1.2,6.02,0.0,2.41
40365239,0.0,3.3,1.1,4.4,2.2,0.0,3.3,1.1,0.0
40365264,1.35,1.35,2.7,12.16,2.7,1.35,0.0,1.35,0.0
40365387,1.12,3.37,3.37,7.87,4.49,1.12,2.25,3.37,1.12
40365499,1.3,6.49,1.3,6.49,3.9,0.0,5.19,0.0,0.0
40365546,1.18,3.53,5.88,10.59,5.88,1.18,3.53,1.18,3.53
40365627,0.0,7.53,0.0,10.75,8.6,1.08,6.45,0.0,5.38
40365632,0.0,1.09,0.0,5.43,3.26,0.0,2.17,0.0,1.09
40365644,0.0,7.89,0.0,15.79,13.16,0.0,5.26,0.0,1.32
40365784,0.0,3.41,1.14,5.68,5.68,0.0,4.55,1.14,2.27
40365789,1.32,6.58,2.63,9.21,5.26,0.0,1.32,1.32,1.32
40365841,2.3,3.45,3.45,4.6,4.6,1.15,3.45,0.0,1.15
40365871,0.0,2.13,1.06,2.13,2.13,1.06,6.38,0.0,2.13
40365882,2.33,1.16,3.49,6.98,4.65,0.0,3.49,2.33,1.16
40365904,0.0,5.43,0.0,5.43,5.43,1.09,2.17,0.0,0.0
40365938,2.38,2.38,3.57,7.14,2.38,2.38,0.0,2.38,0.0
40365942,0.0,2.35,4.71,5.88,4.71,4.71,2.35,1.18,0.0
40365968,0.0,2.53,1.27,2.53,2.53,0.0,2.53,0.0,0.0
40366002,0.0,4.4,3.3,6.59,4.4,0.0,4.4,1.1,3.3
40366054,0.0,3.57,2.38,5.95,3.57,0.0,5.95,0.0,1.19
40366132,0.0,2.11,1.05,3.16,0.0,0.0,3.16,0.0,1.05
40366154,0.0,4.94,0.0,3.7,3.7,0.0,1.23,0.0,0.0
40366230,1.3,5.19,0.0,6.49,5.19,0.0,1.3,0.0,0.0
40366473,1.15,2.3,1.15,3.45,3.45,0.0,4.6,1.15,0.0
40366487,0.0,1.1,1.1,3.3,1.1,0.0,1.1,0.0,0.0
40366543,1.18,1.18,1.18,2.35,0.0,1.18,1.18,0.0,0.0
40366586,1.45,2.9,1.45,8.7,4.35,0.0,0.0,1.45,0.0
40366652,0.0,3.95,0.0,6.58,3.95,0.0,5.26,0.0,1.32
40366716,1.37,5.48,2.74,6.85,4.11,0.0,0.0,0.0,0.0
40366879,1.18,4.71,1.18,4.71,2.35,0.0,1.18,0.0,0.0
40366938,1.18,4.71,0.0,7.06,4.71,0.0,2.35,0.0,1.18
40366961,1.28,5.13,1.28,7.69,5.13,0.0,1.28,0.0,0.0
40367005,0.0,1.12,0.0,1.12,0.0,0.0,0.0,0.0,0.0
40367038,0.0,6.17,1.23,7.41,2.47,0.0,1.23,1.23,0.0
40367179,0.0,7.5,1.25,11.25,6.25,0.0,3.75,0.0,3.75
40367189,1.1,1.1,2.2,3.3,2.2,0.0,4.4,2.2,1.1
40367241,0.0,3.49,1.16,4.65,3.49,0.0,3.49,1.16,1.16
40367365,1.22,4.88,4.88,7.32,4.88,2.44,3.66,4.88,1.22
40367373,0.0,5.95,1.19,11.9,5.95,0.0,3.57,1.19,3.57
40367377,1.1,4.4,2.2,3.3,2.2,1.1,3.3,0.0,2.2
40367728,0.0,7.06,0.0,12.94,9.41,0.0,4.71,1.18,1.18
40367749,0.0,6.25,0.0,8.75,5.0,0.0,1.25,0.0,2.5
40367789,1.23,3.7,4.94,6.17,2.47,1.23,1.23,3.7,1.23
40367790,1.28,6.41,6.41,8.97,5.13,1.28,2.56,2.56,1.28
40367841,1.3,7.79,1.3,11.69,2.6,1.3,1.3,1.3,0.0
40367860,1.39,4.17,1.39,8.33,5.56,0.0,4.17,0.0,1.39
40367870,0.0,3.16,2.11,4.21,2.11,0.0,4.21,1.05,2.11
40368034,0.0,5.49,0.0,7.69,3.3,0.0,4.4,0.0,2.2
40368157,2.47,11.11,3.7,9.88,8.64,2.47,6.17,1.23,2.47
40368207,0.0,6.25,2.5,6.25,5.0,0.0,6.25,1.25,2.5
40368223,1.12,3.37,1.12,3.37,1.12,2.25,1.12,1.12,0.0
40368271,1.02,4.08,3.06,6.12,3.06,0.0,2.04,1.02,2.04
40368291,1.12,7.87,0.0,10.11,8.99,0.0,8.99,0.0,2.25
40368313,0.0,12.66,0.0,17.72,12.66,0.0,5.06,0.0,3.8
40368318,2.22,3.33,1.11,4.44,3.33,1.11,2.22,1.11,1.11
40368338,0.0,2.47,0.0,9.88,4.94,0.0,1.23,1.23,1.23
40368374,0.0,3.23,1.08,3.23,2.15,0.0,2.15,1.08,2.15
40368555,0.0,4.48,1.49,10.45,8.96,1.49,1.49,2.99,1.49
40368577,0.0,6.33,0.0,8.86,5.06,0.0,5.06,0.0,1.27
40368632,1.22,4.88,3.66,10.98,4.88,1.22,3.66,1.22,3.66
40368725,0.0,4.76,0.0,5.95,3.57,1.19,1.19,0.0,1.19
40368801,5.19,5.19,1.3,7.79,6.49,0.0,3.9,2.6,0.0
40368824,0.0,11.39,1.27,12.66,8.86,0.0,2.53,0.0,0.0
40368897,0.0,4.44,0.0,5.56,4.44,1.11,5.56,0.0,2.22
40369012,1.09,3.26,5.43,3.26,3.26,0.0,2.17,1.09,1.09
40369016,2.27,11.36,1.14,12.5,9.09,0.0,4.55,1.14,0.0
40369051,0.0,6.67,0.0,11.67,5.0,0.0,0.0,0.0,0.0
40369158,0.0,5.38,0.0,4.3,2.15,0.0,2.15,0.0,0.0
40369165,0.0,4.6,0.0,12.64,6.9,0.0,3.45,0.0,2.3
40369262,0.0,2.11,2.11,2.11,2.11,1.05,4.21,0.0,0.0
40369299,0.0,4.71,2.35,7.06,3.53,1.18,2.35,2.35,0.0
40369418,0.0,4.44,1.11,5.56,3.33,2.22,1.11,1.11,1.11
40369482,1.28,6.41,2.56,10.26,6.41,1.28,3.85,1.28,3.85
40369521,1.23,9.88,2.47,8.64,6.17,0.0,3.7,2.47,3.7
40369608,0.0,0.0,0.0,5.62,1.12,0.0,2.25,0.0,1.12
40369619,0.0,8.57,0.0,14.29,11.43,0.0,7.14,0.0,5.71
40369641,1.19,2.38,0.0,5.95,3.57,0.0,3.57,0.0,0.0
40369667,3.66,0.0,7.32,2.44,0.0,3.66,3.66,2.44,0.0
40369669,1.08,6.45,1.08,7.53,6.45,0.0,5.38,0.0,1.08
40369675,0.0,1.3,3.9,6.49,3.9,0.0,1.3,1.3,0.0
40369716,0.0,1.25,1.25,5.0,2.5,0.0,1.25,0.0,0.0
40369782,0.0,1.35,0.0,4.05,1.35,0.0,0.0,0.0,0.0
40369849,2.25,2.25,0.0,3.37,1.12,1.12,0.0,1.12,0.0
40369878,1.18,5.88,1.18,7.06,2.35,0.0,1.18,0.0,0.0
40369958,0.0,3.8,2.53,7.59,5.06,0.0,2.53,2.53,2.53
40370015,0.0,10.0,0.0,12.5,7.5,0.0,2.5,0.0,0.0
40370167,2.3,2.3,1.15,11.49,0.0,0.0,2.3,1.15,0.0
40370168,0.0,3.19,1.06,3.19,2.13,1.06,2.13,0.0,0.0
40370436,1.27,6.33,5.06,8.86,7.59,1.27,2.53,2.53,0.0
40370463,1.23,8.64,0.0,9.88,7.41,0.0,3.7,0.0,3.7
40370766,2.44,2.44,2.44,2.44,1.22,0.0,1.22,0.0,2.44
40370781,1.25,3.75,0.0,2.5,2.5,0.0,2.5,0.0,0.0
40370939,0.0,2.41,1.2,2.41,2.41,0.0,1.2,0.0,0.0
40371684,1.11,2.22,2.22,4.44,2.22,2.22,1.11,2.22,1.11
40371718,1.11,8.89,3.33,11.11,6.67,1.11,3.33,1.11,2.22
40371727,1.1,3.3,4.4,6.59,4.4,1.1,6.59,0.0,1.1
40371906,0.0,1.67,1.67,5.0,3.33,0.0,1.67,0.0,0.0
40371988,1.45,8.7,2.9,11.59,10.14,0.0,5.8,1.45,2.9
40372112,0.0,2.6,1.3,6.49,6.49,0.0,2.6,0.0,1.3
40372262,1.2,3.61,2.41,7.23,2.41,0.0,2.41,1.2,0.0
40372357,0.0,7.5,1.25,10.0,6.25,0.0,1.25,1.25,1.25
40372417,1.27,5.06,2.53,5.06,5.06,1.27,3.8,1.27,1.27
40372422,0.0,4.82,0.0,7.23,3.61,0.0,2.41,0.0,0.0
40372466,0.0,2.7,0.0,4.05,2.7,0.0,1.35,0.0,0.0
40372596,1.27,5.06,0.0,10.13,7.59,0.0,3.8,0.0,2.53
40372631,0.0,1.09,2.17,3.26,0.0,1.09,2.17,1.09,0.0
40373113,0.0,8.54,3.66,10.98,7.32,0.0,2.44,0.0,1.22
40373118,0.0,4.49,1.12,4.49,3.37,0.0,4.49,0.0,2.25
40373160,0.0,1.1,1.1,4.4,3.3,1.1,2.2,1.1,0.0
40373462,0.0,4.17,1.39,8.33,6.94,2.78,4.17,1.39,2.78
40373500,3.45,8.05,3.45,11.49,9.2,1.15,4.6,3.45,2.3
40373597,1.19,1.19,3.57,3.57,1.19,0.0,3.57,1.19,1.19
40373656,0.0,2.7,1.35,4.05,2.7,1.35,0.0,1.35,0.0
40373888,0.0,8.64,1.23,14.81,11.11,0.0,2.47,0.0,0.0
40373909,0.0,5.56,1.11,7.78,4.44,0.0,4.44,0.0,2.22
40373912,1.18,10.59,2.35,17.65,14.12,0.0,11.76,0.0,7.06
40373937,0.0,3.45,2.3,3.45,2.3,1.15,0.0,2.3,1.15
40374136,0.0,2.25,1.12,3.37,3.37,0.0,2.25,0.0,1.12
40374192,2.35,7.06,3.53,9.41,4.71,0.0,2.35,2.35,3.53
40374266,3.7,4.94,6.17,12.35,8.64,1.23,3.7,6.17,1.23
40374277,2.2,4.4,5.49,6.59,5.49,3.3,2.2,3.3,2.2
40374415,1.14,6.82,1.14,14.77,7.95,0.0,1.14,0.0,0.0
40374974,0.0,6.33,1.27,15.19,7.59,0.0,1.27,1.27,0.0
40375108,0.0,4.44,3.33,4.44,2.22,1.11,1.11,1.11,0.0
40375286,0.0,4.3,1.08,5.38,5.38,0.0,3.23,1.08,0.0
40375369,0.0,4.44,2.22,5.56,3.33,0.0,2.22,0.0,1.11
40375616,0.0,1.06,1.06,4.26,3.19,1.06,4.26,0.0,2.13
40375699,0.0,8.54,2.44,12.2,6.1,0.0,6.1,0.0,1.22
40375839,2.41,4.82,1.2,6.02,3.61,0.0,6.02,1.2,3.61
40375929,0.0,5.13,0.0,10.26,6.41,0.0,3.85,0.0,2.56
40376077,5.56,3.33,2.22,4.44,3.33,1.11,3.33,0.0,4.44
40376142,2.41,4.82,3.61,6.02,4.82,0.0,2.41,1.2,3.61
40376204,0.0,2.38,0.0,3.57,2.38,0.0,2.38,0.0,0.0
40376290,3.41,2.27,2.27,3.41,1.14,2.27,0.0,1.14,0.0
40376495,0.0,2.82,1.41,5.63,4.23,0.0,1.41,0.0,0.0
40376635,0.0,3.85,1.28,6.41,1.28,0.0,1.28,1.28,0.0
40376718,0.0,7.69,2.56,11.54,8.97,0.0,7.69,1.28,5.13
40376735,1.18,4.71,3.53,5.88,2.35,0.0,0.0,1.18,0.0
40377124,1.16,8.14,2.33,9.3,5.81,2.33,1.16,0.0,1.16
40377243,0.0,2.33,0.0,4.65,2.33,0.0,5.81,0.0,1.16
40377262,0.0,6.94,1.39,8.33,6.94,1.39,5.56,1.39,2.78
40377294,3.57,4.76,5.95,4.76,2.38,2.38,3.57,2.38,1.19
40377325,0.0,6.41,1.28,8.97,5.13,0.0,5.13,0.0,2.56
40377385,0.0,2.41,2.41,4.82,3.61,0.0,7.23,0.0,0.0
40377506,0.0,3.41,1.14,5.68,3.41,1.14,2.27,1.14,1.14
40377630,0.0,1.14,2.27,3.41,0.0,1.14,3.41,0.0,1.14
40377789,0.0,4.82,0.0,9.64,6.02,0.0,4.82,0.0,2.41
40378190,1.12,1.12,1.12,4.49,1.12,0.0,2.25,0.0,1.12
40378212,0.0,1.33,0.0,4.0,1.33,0.0,0.0,0.0,0.0
40378571,2.41,1.2,2.41,2.41,1.2,1.2,1.2,2.41,2.41
40378579,1.15,5.75,2.3,8.05,4.6,1.15,3.45,1.15,1.15
40378822,0.0,2.35,1.18,2.35,1.18,0.0,2.35,0.0,0.0
40378827,0.0,3.45,2.3,5.75,4.6,0.0,2.3,1.15,0.0
40378874,1.2,9.64,1.2,14.46,9.64,0.0,9.64,2.41,3.61
40379026,0.0,3.39,0.0,10.17,6.78,0.0,1.69,0.0,3.39
40379149,1.22,4.88,3.66,7.32,6.1,2.44,1.22,2.44,2.44
40379566,2.67,2.67,4.0,2.67,2.67,1.33,2.67,2.67,1.33
40379573,0.0,6.15,3.08,7.69,6.15,0.0,4.62,0.0,3.08
40379580,0.0,3.66,0.0,10.98,3.66,0.0,3.66,0.0,1.22
40379662,0.0,10.53,3.95,13.16,11.84,1.32,3.95,2.63,0.0
40379890,0.0,5.06,0.0,7.59,2.53,0.0,3.8,0.0,1.27
40380253,0.0,1.25,1.25,5.0,1.25,0.0,2.5,0.0,2.5
40380422,2.27,9.09,1.14,11.36,9.09,0.0,7.95,1.14,6.82
40380432,2.17,4.35,4.35,9.78,7.61,2.17,3.26,3.26,0.0
40380457,1.09,3.26,1.09,9.78,7.61,2.17,3.26,1.09,1.09
40380464,0.0,2.33,0.0,4.65,2.33,0.0,4.65,0.0,2.33
40380517,2.33,2.33,0.0,5.81,3.49,1.16,2.33,1.16,0.0
40380520,0.0,14.63,0.0,23.17,15.85,1.22,7.32,0.0,2.44
40380592,2.25,4.49,3.37,4.49,4.49,1.12,2.25,2.25,4.49
40380628,0.0,7.87,2.25,8.99,5.62,0.0,3.37,0.0,2.25
40380996,0.0,4.76,0.0,9.52,4.76,2.38,4.76,0.0,2.38
40381210,1.28,11.54,2.56,16.67,11.54,1.28,7.69,3.85,5.13
40381551,0.0,2.33,3.49,10.47,5.81,0.0,4.65,2.33,4.65
40381595,0.0,3.49,0.0,9.3,5.81,0.0,0.0,0.0,0.0
40381720,2.3,4.6,2.3,9.2,6.9,0.0,4.6,1.15,2.3
40382802,2.47,6.17,2.47,9.88,8.64,0.0,7.41,2.47,3.7
40383003,0.0,4.6,1.15,4.6,4.6,1.15,0.0,1.15,0.0
40383044,0.0,1.25,2.5,5.0,0.0,0.0,0.0,0.0,1.25
40383281,0.0,2.44,1.22,3.66,3.66,1.22,3.66,0.0,1.22
40383496,1.32,5.26,1.32,5.26,3.95,1.32,2.63,1.32,2.63
40383511,0.0,7.23,1.2,8.43,8.43,0.0,4.82,2.41,3.61
40383609,1.18,2.35,0.0,9.41,3.53,0.0,2.35,1.18,1.18
40383737,1.27,5.06,3.8,8.86,7.59,0.0,0.0,1.27,1.27
40383819,0.0,3.75,1.25,7.5,3.75,0.0,1.25,1.25,0.0
40383825,1.25,6.25,3.75,8.75,5.0,1.25,3.75,1.25,1.25
40384036,1.18,7.06,1.18,11.76,5.88,1.18,4.71,0.0,1.18
40384188,0.0,4.4,1.1,6.59,5.49,0.0,3.3,1.1,1.1
40384340,0.0,3.53,0.0,8.24,5.88,0.0,2.35,0.0,0.0
40384458,0.0,4.35,1.45,11.59,8.7,0.0,4.35,0.0,1.45
40384575,0.0,2.3,1.15,3.45,1.15,1.15,3.45,1.15,1.15
40384662,1.3,5.19,1.3,5.19,3.9,0.0,3.9,0.0,0.0
40384671,0.0,2.27,2.27,7.95,6.82,0.0,4.55,2.27,3.41
40385161,4.65,3.49,4.65,2.33,2.33,3.49,2.33,1.16,0.0
40385584,0.0,12.0,2.67,12.0,12.0,0.0,9.33,0.0,4.0
40385587,0.0,6.82,0.0,6.82,5.68,1.14,2.27,0.0,2.27
40385693,0.0,2.47,3.7,7.41,3.7,0.0,2.47,0.0,0.0
40385774,1.27,3.8,2.53,8.86,3.8,0.0,2.53,2.53,1.27
40385852,0.0,2.63,2.63,11.84,6.58,1.32,1.32,1.32,0.0
40385873,0.0,1.18,0.0,2.35,1.18,0.0,3.53,0.0,1.18
40385885,0.0,6.67,0.0,11.11,10.0,0.0,10.0,0.0,5.56
40385955,3.41,5.68,2.27,7.95,5.68,2.27,4.55,2.27,1.14
40386001,0.0,4.49,0.0,5.62,3.37,0.0,2.25,0.0,1.12
40386058,1.28,5.13,1.28,10.26,7.69,0.0,7.69,1.28,2.56
40386067,0.0,9.88,0.0,13.58,8.64,0.0,6.17,0.0,4.94
40386147,1.16,4.65,0.0,6.98,5.81,1.16,6.98,0.0,2.33
40386278,1.28,12.82,1.28,12.82,8.97,1.28,7.69,0.0,2.56
40386303,1.1,2.2,3.3,6.59,3.3,1.1,5.49,2.2,2.2
40386425,0.0,2.56,2.56,11.54,3.85,0.0,1.28,0.0,0.0
40386528,1.16,4.65,2.33,4.65,4.65,2.33,6.98,1.16,3.49
40386556,0.0,2.3,2.3,4.6,2.3,1.15,5.75,1.15,0.0
